Age,Gender,Weight (kg),Height (m),BMI,BMI_Category,Experience_Level,Session_Duration (hours),Calories_Burned,Name of Exercise,Difficulty Level,Reps,Burns Calories (per 30 min),target_muscles,focus_area,strength,cardio,hiit,yoga,calories_norm,difficulty_norm,weight_gain_score,weight_loss_score
34.91,1,65.27,1.62,24.87,1,14,1,1080.9,Decline Push-ups,0,20.91,342.58,"['lower_chest', 'triceps']",upperbody,1,0,0,0,0.845311512,0,0.476796727,0.2
23.37,0,56.41,1.55,23.48,1,14,1.37,1809.91,Bear Crawls,2,16.15,357.16,"['shoulders', 'core', 'legs']",fullbody,0,0,1,0,0.902949083,1,0.385442362,0.5
33.2,0,58.98,1.67,21.15,1,2,0.91,802.26,Dips,2,21.9,359.63,"['chest', 'triceps']",upperbody,1,0,0,0,0.912713472,1,0.486907021,0.35
38.69,0,93.78,1.7,32.45,3,12,1.1,1450.79,Mountain Climbers,0,16.92,351.65,"['core', 'shoulders', 'legs']",fullbody,0,1,1,0,0.881166983,0,0.582175047,0.6
45.09,1,52.42,1.88,14.83,0,13,1.08,1166.4,Bicep Curls,0,15.01,329.36,['biceps'],upperbody,1,0,0,0,0.793050285,0,0.468957543,0.2
53.19,0,105.05,1.84,31.03,3,0,0.69,453.33,Leg Press,1,25.1,374.56,"['quads', 'glutes']",lowerbody,1,0,0,0,0.971734662,0.5,0.495760199,0.275
23.17,1,58.41,1.78,18.44,0,26,1.67,1953.9,Thrusters,0,25.04,328.94,"['legs', 'shoulders', 'core']",fullbody,1,0,1,0,0.791389943,0,0.718708491,0.55
55.92,0,84.07,1.63,31.64,3,14,1.01,727.81,Turkish Get-ups,2,18.95,363.56,"['full_body', 'core']",fullbody,1,0,0,1,0.928249526,1,0.539237429,0.4
24.11,0,88.58,1.79,27.65,2,28,1.76,2062.37,Glute Bridges,1,24.1,349.51,"['glutes', 'hamstrings']",lowerbody,1,0,0,0,0.872707147,0.5,0.480906072,0.275
39.19,0,50.32,1.6,19.66,1,0,1.17,1157.25,Step-ups,2,16.09,326.31,"['glutes', 'quads']",lowerbody,1,0,0,0,0.780993042,1,0.467148956,0.35
50.51,1,86.37,1.63,32.51,3,24,1.69,1974.26,Plank,2,17.03,356.2,"['core', 'shoulders', 'glutes']",core,1,0,0,1,0.899154016,1,0.534873102,0.4
47.77,0,83.89,1.82,25.33,2,27,1.91,2733.4,Pull-ups,0,20.97,361.13,"['lats', 'biceps']",upperbody,1,0,0,0,0.918643264,0,0.48779649,0.2
19,1,82.66,1.96,21.52,1,25,1.89,2700.62,Lunges,0,23.95,357.96,"['quads', 'glutes', 'hamstrings']",lowerbody,1,0,0,0,0.906111638,0,0.485916746,0.2
38.01,0,57.67,1.56,23.7,1,26,1.64,2345.2,Turkish Get-ups,0,14.93,338.54,"['full_body', 'core']",fullbody,1,0,0,1,0.829340607,0,0.524401091,0.25
27.39,0,71.79,1.97,18.5,1,2,0.75,743.85,Plyo Squats,0,15.13,356.83,"['quads', 'glutes']",lowerbody,0,0,1,0,0.901644529,0,0.385246679,0.35
18.86,0,95.12,1.85,27.79,3,11,1.2,1293.84,Squats,0,17.87,359.74,"['quads', 'glutes', 'hamstrings']",lowerbody,1,0,0,0,0.913148324,0,0.486972249,0.2
40.36,1,56.88,1.71,19.45,1,27,1.87,2189.58,Frog Jumps,0,20.9,342.47,"['glutes', 'quads']",lowerbody,0,1,1,0,0.84487666,0,0.576731499,0.6
37.14,1,76.48,1.77,24.41,1,13,1.36,1305.6,Step-ups,1,16.98,356.98,"['glutes', 'quads']",lowerbody,1,0,0,0,0.902237508,0.5,0.485335626,0.275
18.93,1,72.56,1.79,22.65,2,2,0.81,803.36,Lunges,1,25.07,332.12,"['quads', 'glutes', 'hamstrings']",lowerbody,1,0,0,0,0.803961101,0.5,0.470594165,0.275
46,1,60.05,1.68,21.28,1,13,1.17,1544.4,Deadlifts,2,23.01,350.23,"['glutes', 'hamstrings', 'back']",fullbody,1,0,0,0,0.875553447,1,0.481333017,0.35
37.06,0,73.04,1.74,24.12,1,13,1.04,1123.2,Decline Push-ups,1,22.86,333.67,"['lower_chest', 'triceps']",upperbody,1,0,0,0,0.810088552,0.5,0.471513283,0.275
50.23,0,86.72,1.63,32.64,3,26,1.7,1326,Prone Cobras,0,17.09,356.6,['upper_back'],upperbody,0,0,0,1,0.900735294,0,0.185110294,0.05
30.9,0,76.77,1.71,26.25,2,8,1.27,1214.12,Glute Bridges,0,24.02,353.43,"['glutes', 'hamstrings']",lowerbody,1,0,0,0,0.888203669,0,0.48323055,0.2
24.03,0,88.29,1.79,27.56,2,27,1.76,1831.81,Lat Pulldowns,2,23.85,350.66,"['lats', 'biceps']",upperbody,1,0,0,0,0.877253321,1,0.481587998,0.35
50.53,1,57.01,1.91,15.63,0,13,1.09,1177.2,Prone Cobras,1,14.99,360.04,['upper_back'],upperbody,0,0,0,1,0.914334282,0.5,0.187150142,0.125
54.03,0,87.22,1.76,28.16,2,15,1.48,1067.38,Bear Crawls,0,16.88,338.3,"['shoulders', 'core', 'legs']",fullbody,0,0,1,0,0.828391841,0,0.374258776,0.35
25.11,0,105.44,1.88,29.83,2,14,1.33,1277.86,Mountain Climbers,1,15.03,355.39,"['core', 'shoulders', 'legs']",fullbody,0,1,1,0,0.895951929,0.5,0.584392789,0.675
39.05,1,102.34,1.94,27.19,2,0,0.9,792,Russian Twists,1,22,368.66,"['obliques', 'abs']",core,1,0,0,0,0.948410816,0.5,0.492261622,0.275
