Age,Gender,Weight (kg),Height (m),BMI,Daily meals frequency,meal_name,meal_type,diet_type,cooking_method,Carbs,Proteins,Fats,Calories,Workout_Type,Calories_Burned,cal_balance,goal_label,meal_name_raw,meal_type_raw,diet_type_raw,cooking_method_raw
34.91,1,65.27,1.62,24.87,2.99,88,2,4,3,267.68,106.05,71.63,1806,2,1080.9,725.1,0,Grilled Lunch Vegan,Lunch,Vegan,Grilled
23.37,0,56.41,1.55,23.48,3.01,65,2,5,2,214.32,85.41,56.97,1577,1,1809.91,-232.91,1,Fried Lunch Vegetarian,Lunch,Vegetarian,Fried
33.2,0,58.98,1.67,21.15,1.99,27,0,3,1,246.04,98.11,65.48,1608,0,802.26,805.74,0,Boiled Breakfast Paleo,Breakfast,Paleo,Boiled
38.69,0,93.78,1.7,32.45,3.0,63,2,3,2,203.22,80.84,54.56,2657,1,1450.79,1206.21,0,Fried Lunch Paleo,Lunch,Paleo,Fried
45.09,1,52.42,1.88,14.83,3.0,4,0,4,0,332.79,133.05,88.43,1470,2,1166.4,303.6,0,Baked Breakfast Vegan,Breakfast,Vegan,Baked
53.19,0,105.05,1.84,31.03,2.99,163,3,1,6,170.86,67.92,46.06,2767,3,453.33,2313.67,0,Steamed Snack Keto,Snack,Keto,Steamed
23.17,1,58.41,1.78,18.44,2.02,50,0,2,2,280.33,112.35,74.97,1867,2,1953.9,-86.9,1,Fried Breakfast Low-Carb,Breakfast,Low-Carb,Fried
55.92,0,84.07,1.63,31.64,2.99,116,3,2,4,262.57,105.41,70.37,2191,3,727.81,1463.19,0,Raw Snack Low-Carb,Snack,Low-Carb,Raw
24.11,0,88.58,1.79,27.65,3.0,40,2,4,1,173.08,69.44,45.91,2587,2,2062.37,524.63,0,Boiled Lunch Vegan,Lunch,Vegan,Boiled
39.19,0,50.32,1.6,19.66,3.01,87,2,3,3,191.06,76.76,50.71,1247,2,1157.25,89.75,0,Grilled Lunch Paleo,Lunch,Paleo,Grilled
50.51,1,86.37,1.63,32.51,3.0,1,0,1,0,258.98,102.72,68.72,2476,2,1974.26,501.74,0,Baked Breakfast Keto,Breakfast,Keto,Baked
47.77,0,83.89,1.82,25.33,3.01,91,3,1,3,231.16,93.27,61.23,2232,1,2733.4,-501.4,1,Grilled Snack Keto,Snack,Keto,Grilled
19.0,1,82.66,1.96,21.52,3.01,10,1,4,0,181.82,71.6,48.11,2569,1,2700.62,-131.62,1,Baked Dinner Vegan,Dinner,Vegan,Baked
38.01,0,57.67,1.56,23.7,3.98,74,0,2,3,369.71,147.77,98.38,1726,1,2345.2,-619.2,1,Grilled Breakfast Low-Carb,Breakfast,Low-Carb,Grilled
27.39,0,71.79,1.97,18.5,3.01,134,2,2,5,207.16,82.59,55.08,2046,2,743.85,1302.15,0,Roasted Lunch Low-Carb,Lunch,Low-Carb,Roasted
18.86,0,95.12,1.85,27.79,2.0,117,3,3,4,298.25,118.86,79.54,2455,2,1293.84,1161.16,0,Raw Snack Paleo,Snack,Paleo,Raw
40.36,1,56.88,1.71,19.45,1.98,99,0,3,4,192.66,76.8,51.19,1740,2,2189.58,-449.58,1,Raw Breakfast Paleo,Breakfast,Paleo,Raw
37.14,1,76.48,1.77,24.41,2.99,146,0,2,6,233.62,92.99,62.41,2166,0,1305.6,860.4,0,Steamed Breakfast Low-Carb,Breakfast,Low-Carb,Steamed
18.93,1,72.56,1.79,22.65,2.99,17,2,5,0,219.75,87.27,58.09,1802,2,803.36,998.64,0,Baked Lunch Vegetarian,Lunch,Vegetarian,Baked
46.0,1,60.05,1.68,21.28,1.99,65,2,5,2,247.96,99.4,66.24,1716,1,1544.4,171.6,0,Fried Lunch Vegetarian,Lunch,Vegetarian,Fried
37.06,0,73.04,1.74,24.12,3.02,46,3,4,1,300.3,120.63,80.22,2038,2,1123.2,914.8,0,Boiled Snack Vegan,Snack,Vegan,Boiled
50.23,0,86.72,1.63,32.64,3.0,96,0,0,4,256.65,103.91,68.88,2212,3,1326.0,886.0,0,Raw Breakfast Balanced,Breakfast,Balanced,Raw
30.9,0,76.77,1.71,26.25,2.0,99,0,3,4,222.21,89.25,58.85,2182,0,1214.12,967.88,0,Raw Breakfast Paleo,Breakfast,Paleo,Raw
24.03,0,88.29,1.79,27.56,2.99,37,2,1,1,174.44,69.19,46.48,2410,0,1831.81,578.19,0,Boiled Lunch Keto,Lunch,Keto,Boiled
50.53,1,57.01,1.91,15.63,2.01,157,2,1,6,177.97,71.05,47.3,1510,2,1177.2,332.8,0,Steamed Lunch Keto,Lunch,Keto,Steamed
54.03,0,87.22,1.76,28.16,3.0,61,2,1,2,296.87,118.4,79.38,2269,3,1067.38,1201.62,0,Fried Lunch Keto,Lunch,Keto,Fried
25.11,0,105.44,1.88,29.83,4.02,108,2,0,4,198.29,79.79,52.85,3016,0,1277.86,1738.14,0,Raw Lunch Balanced,Lunch,Balanced,Raw
39.05,1,102.34,1.94,27.19,3.02,16,2,4,0,282.28,111.71,74.89,2624,0,792.0,1832.0,0,Baked Lunch Vegan,Lunch,Vegan,Baked
44.1,0,89.6,1.99,22.63,2.99,105,1,3,4,321.28,128.81,85.61,2601,1,1848.0,753.0,0,Raw Dinner Paleo,Dinner,Paleo,Raw
18.06,1,58.56,1.61,22.59,2.99,20,3,2,0,231.25,92.48,61.37,1549,2,2226.42,-677.42,1,Baked Snack Low-Carb,Snack,Low-Carb,Baked
57.07,0,76.9,1.86,22.23,1.98,53,0,5,2,207.11,82.81,55.52,1981,3,827.31,1153.69,0,Fried Breakfast Vegetarian,Breakfast,Vegetarian,Fried
49.66,1,52.57,1.84,15.53,3.0,21,3,3,0,169.5,68.42,45.57,1497,0,1324.8,172.2,0,Baked Snack Paleo,Snack,Paleo,Baked
31.63,1,126.53,1.83,37.78,3.0,1,0,1,0,304.8,122.78,81.51,3255,3,790.68,2464.32,0,Baked Breakfast Keto,Breakfast,Keto,Baked
41.8,1,59.72,1.74,19.73,3.01,129,1,3,5,202.57,80.05,53.22,1741,1,2545.4,-804.4,1,Roasted Dinner Paleo,Dinner,Paleo,Roasted
37.51,1,76.59,1.82,23.12,3.02,132,2,0,5,188.66,76.42,50.28,1950,3,1072.8,877.2,0,Roasted Lunch Balanced,Lunch,Balanced,Roasted
